Regione,20/12/2020,21/12/2020,22/12/2020,23/12/2020,24/12/2020,25/12/2020,26/12/2020,27/12/2020,28/12/2020,29/12/2020,30/12/2020,31/12/2020,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021
Abruzzo,arancio,arancio,arancio,arancio,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Basilicata,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Calabria,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Campania,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Emilia-Romagna,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Friuli-Venezia Giulia,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Lazio,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Liguria,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Lombardia,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Marche,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Molise,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Piemonte,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Puglia,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Sardegna,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Sicilia,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Toscana,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Trentino-Alto Adige,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Umbria,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Valle d'Aosta,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
Veneto,giallo,giallo-natale,giallo-natale,giallo-natale,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,arancione,arancione,rosso-natale,rosso-natale,rosso-natale,rosso-natale,arancione,rosso-natale,rosso-natale
