Date,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trento,Bolzano,Umbria,Valle d'Aosta,Veneto
20/12/2020,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow
21/12/2020,orange,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school
22/12/2020,orange,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school
23/12/2020,orange,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school,yellow_no_regions_no_school
24/12/2020,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas
25/12/2020,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas
26/12/2020,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas
27/12/2020,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas
28/12/2020,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange
29/12/2020,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange
30/12/2020,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange
31/12/2020,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas,red_christmas
